query_id,model,provider,condition,run,latency_ms
Q20,mistral-devstral-2512,openrouter,with_rerank,1,235.01
Q20,mistral-devstral-2512,openrouter,with_rerank,2,167.06
Q20,mistral-devstral-2512,openrouter,with_rerank,3,56.4
Q1,mistral-devstral-2512,openrouter,without_rerank,1,39.91
Q1,mistral-devstral-2512,openrouter,without_rerank,2,41.88
Q1,mistral-devstral-2512,openrouter,without_rerank,3,41.7
Q2,mistral-devstral-2512,openrouter,without_rerank,1,52.92
Q2,mistral-devstral-2512,openrouter,without_rerank,2,55.15
Q2,mistral-devstral-2512,openrouter,without_rerank,3,57.68
Q3,mistral-devstral-2512,openrouter,without_rerank,1,34.49
Q3,mistral-devstral-2512,openrouter,without_rerank,2,34.73
Q3,mistral-devstral-2512,openrouter,without_rerank,3,34.41
Q4,mistral-devstral-2512,openrouter,without_rerank,1,42.97
Q4,mistral-devstral-2512,openrouter,without_rerank,2,43.09
Q4,mistral-devstral-2512,openrouter,without_rerank,3,46.36
Q5,mistral-devstral-2512,openrouter,without_rerank,1,70.2
Q5,mistral-devstral-2512,openrouter,without_rerank,2,72.04
Q5,mistral-devstral-2512,openrouter,without_rerank,3,70.7
Q6,mistral-devstral-2512,openrouter,without_rerank,1,59.52
Q6,mistral-devstral-2512,openrouter,without_rerank,2,60.01
Q6,mistral-devstral-2512,openrouter,without_rerank,3,57.71
Q7,mistral-devstral-2512,openrouter,without_rerank,1,49.46
Q7,mistral-devstral-2512,openrouter,without_rerank,2,53.52
Q7,mistral-devstral-2512,openrouter,without_rerank,3,54.18
Q8,mistral-devstral-2512,openrouter,without_rerank,1,56.81
Q8,mistral-devstral-2512,openrouter,without_rerank,2,57.91
Q8,mistral-devstral-2512,openrouter,without_rerank,3,58.02
Q9,mistral-devstral-2512,openrouter,without_rerank,1,26.31
Q9,mistral-devstral-2512,openrouter,without_rerank,2,28.45
Q9,mistral-devstral-2512,openrouter,without_rerank,3,28.47
Q10,mistral-devstral-2512,openrouter,without_rerank,1,30.84
Q10,mistral-devstral-2512,openrouter,without_rerank,2,30.04
Q10,mistral-devstral-2512,openrouter,without_rerank,3,29.11
Q11,mistral-devstral-2512,openrouter,without_rerank,1,49.78
Q11,mistral-devstral-2512,openrouter,without_rerank,2,50.7
Q11,mistral-devstral-2512,openrouter,without_rerank,3,49.41
Q12,mistral-devstral-2512,openrouter,without_rerank,1,26.9
Q12,mistral-devstral-2512,openrouter,without_rerank,2,27.88
Q12,mistral-devstral-2512,openrouter,without_rerank,3,28.22
Q13,mistral-devstral-2512,openrouter,without_rerank,1,33.0
Q13,mistral-devstral-2512,openrouter,without_rerank,2,34.96
Q13,mistral-devstral-2512,openrouter,without_rerank,3,35.56
Q14,mistral-devstral-2512,openrouter,without_rerank,1,41.22
Q14,mistral-devstral-2512,openrouter,without_rerank,2,42.78
Q14,mistral-devstral-2512,openrouter,without_rerank,3,41.73
Q15,mistral-devstral-2512,openrouter,without_rerank,1,42.3
Q15,mistral-devstral-2512,openrouter,without_rerank,2,45.6
Q15,mistral-devstral-2512,openrouter,without_rerank,3,45.62
Q16,mistral-devstral-2512,openrouter,without_rerank,1,26.39
Q16,mistral-devstral-2512,openrouter,without_rerank,2,27.36
Q16,mistral-devstral-2512,openrouter,without_rerank,3,27.39
Q17,mistral-devstral-2512,openrouter,without_rerank,1,29.1
Q17,mistral-devstral-2512,openrouter,without_rerank,2,30.62
Q17,mistral-devstral-2512,openrouter,without_rerank,3,30.14
Q18,mistral-devstral-2512,openrouter,without_rerank,1,79.59
Q18,mistral-devstral-2512,openrouter,without_rerank,2,83.29
Q18,mistral-devstral-2512,openrouter,without_rerank,3,42.23
